,snip,latitud,longitud
0,356596,14.568799,-90.548851
1,58045,14.590229,-90.495758
2,184529,14.634915,-90.506882
3,227847,14.568799,-90.548851
4,241936,14.634915,-90.506882
5,192541,14.760547,-90.372481
6,184527,14.634915,-90.506882
7,17975,14.667253,-90.358361
8,78279,14.477302,-90.634631
9,92437,14.477302,-90.634631
10,98508,14.568799,-90.548851
11,115769,14.568799,-90.548851
12,152283,14.634915,-90.506882
13,255654,14.572282,-90.498617
14,116499,14.544778,-90.410162
15,68092,14.667253,-90.358361
16,184540,14.634915,-90.506882
17,184534,14.634915,-90.506882
18,184536,14.634915,-90.506882
19,184538,14.634915,-90.506882
20,184537,14.634915,-90.506882
21,227747,14.667253,-90.358361
22,359866,14.667253,-90.358361
23,354875,14.667253,-90.358361
24,184539,14.634915,-90.506882
25,246623,14.667253,-90.358361
26,172334,14.667253,-90.358361
27,136233,14.4776,-90.511607
28,137755,14.529829,-90.592003
29,99402,14.590229,-90.495758
30,119189,14.4776,-90.511607
31,65078,14.529829,-90.592003
32,207347,14.529829,-90.592003
33,74127,14.4776,-90.511607
34,337182,14.568799,-90.548851
35,137879,14.719115,-90.64648
36,300003,14.765919,-90.59437
37,13155,14.634915,-90.506882
38,53697,14.572282,-90.498617
39,137918,14.544778,-90.410162
40,19534,14.667253,-90.358361
41,56993,14.667253,-90.358361
42,137707,14.70344,-90.498617
43,115118,14.667253,-90.358361
44,137875,14.70344,-90.498617
45,115502,14.463181,-90.443162
46,137891,14.6333333,-90.6
47,137653,14.760547,-90.372481
48,94698,14.667253,-90.358361
49,187870,14.667253,-90.358361
50,94696,14.667253,-90.358361
51,187871,14.667253,-90.358361
52,94697,14.667253,-90.358361
53,170969,14.634915,-90.506882
54,241931,14.634915,-90.506882
55,353477,14.572282,-90.498617
56,74049,14.634915,-90.506882
57,338600,14.572282,-90.498617
58,41525,14.572282,-90.498617
59,369536,14.572282,-90.498617
60,338610,14.572282,-90.498617
61,338609,14.572282,-90.498617
62,338611,14.572282,-90.498617
63,338605,14.572282,-90.498617
64,369518,14.572282,-90.498617
65,340487,14.572282,-90.498617
66,338615,14.572282,-90.498617
67,352616,14.544778,-90.410162
68,41524,14.572282,-90.498617
69,313625,14.544778,-90.410162
70,264536,14.544778,-90.410162
71,345813,14.544778,-90.410162
72,353972,14.544778,-90.410162
73,352026,14.544778,-90.410162
74,361788,14.544778,-90.410162
75,263430,14.544778,-90.410162
76,226899,14.544778,-90.410162
77,352620,14.544778,-90.410162
78,226907,14.544778,-90.410162
79,353520,14.544778,-90.410162
80,296074,14.544778,-90.410162
81,332695,14.544778,-90.410162
82,352613,14.544778,-90.410162
83,341324,14.544778,-90.410162
84,116513,14.544778,-90.410162
85,264535,14.544778,-90.410162
86,296077,14.544778,-90.410162
87,264537,14.544778,-90.410162
88,263433,14.544778,-90.410162
89,262554,14.544778,-90.410162
90,298706,14.544778,-90.410162
91,259174,14.544778,-90.410162
92,259172,14.544778,-90.410162
93,58538,14.760547,-90.372481
94,137503,14.760547,-90.372481
95,170854,14.760547,-90.372481
96,170877,14.760547,-90.372481
97,58542,14.760547,-90.372481
98,356757,14.760547,-90.372481
99,340403,14.760547,-90.372481
100,73464,14.760547,-90.372481
101,338700,14.760547,-90.372481
102,137502,14.760547,-90.372481
103,268313,14.760547,-90.372481
104,58531,14.760547,-90.372481
105,154308,14.760547,-90.372481
106,260105,14.760547,-90.372481
107,19541,14.760547,-90.372481
108,171620,14.760547,-90.372481
109,356756,14.760547,-90.372481
110,352543,14.760547,-90.372481
111,262755,14.760547,-90.372481
112,170865,14.760547,-90.372481
113,74057,14.760547,-90.372481
114,338698,14.760547,-90.372481
115,356864,14.760547,-90.372481
116,154319,14.760547,-90.372481
117,260100,14.760547,-90.372481
118,353388,14.760547,-90.372481
119,154321,14.760547,-90.372481
120,332364,14.760547,-90.372481
121,154279,14.760547,-90.372481
122,196396,14.760547,-90.372481
123,137504,14.760547,-90.372481
124,262701,14.760547,-90.372481
125,74497,14.760547,-90.372481
126,262750,14.760547,-90.372481
127,298414,14.760547,-90.372481
128,338701,14.760547,-90.372481
129,356333,14.760547,-90.372481
130,364556,14.760547,-90.372481
131,305736,14.760547,-90.372481
132,296081,14.760547,-90.372481
133,305715,14.760547,-90.372481
134,262706,14.760547,-90.372481
135,354514,14.760547,-90.372481
136,344126,14.760547,-90.372481
137,154315,14.760547,-90.372481
138,342431,14.760547,-90.372481
139,171814,14.760547,-90.372481
140,137501,14.760547,-90.372481
141,172247,14.760547,-90.372481
142,43590,14.667253,-90.358361
143,244445,14.760547,-90.372481
144,343294,14.667253,-90.358361
145,263808,14.667253,-90.358361
146,263810,14.667253,-90.358361
147,60608,14.667253,-90.358361
148,195410,14.667253,-90.358361
149,171369,14.667253,-90.358361
150,170948,14.667253,-90.358361
151,312441,14.667253,-90.358361
152,152252,14.667253,-90.358361
153,263807,14.667253,-90.358361
154,343553,14.667253,-90.358361
155,170849,14.667253,-90.358361
156,68090,14.667253,-90.358361
157,170846,14.667253,-90.358361
158,154573,14.667253,-90.358361
159,59739,14.667253,-90.358361
160,264739,14.667253,-90.358361
161,152251,14.667253,-90.358361
162,152243,14.667253,-90.358361
163,329776,14.667253,-90.358361
164,329893,14.667253,-90.358361
165,329895,14.667253,-90.358361
166,152245,14.667253,-90.358361
167,170850,14.667253,-90.358361
168,172227,14.667253,-90.358361
169,152239,14.667253,-90.358361
170,152242,14.667253,-90.358361
171,343555,14.667253,-90.358361
172,353045,14.667253,-90.358361
173,343293,14.667253,-90.358361
174,244474,14.667253,-90.358361
175,263809,14.667253,-90.358361
176,329897,14.667253,-90.358361
177,296149,14.667253,-90.358361
178,329775,14.667253,-90.358361
179,152240,14.667253,-90.358361
180,329894,14.667253,-90.358361
181,317940,14.667253,-90.358361
182,152250,14.667253,-90.358361
183,152248,14.667253,-90.358361
184,343292,14.667253,-90.358361
185,152255,14.667253,-90.358361
186,304678,14.667253,-90.358361
187,152241,14.667253,-90.358361
188,88666,14.667253,-90.358361
189,329890,14.667253,-90.358361
190,152253,14.667253,-90.358361
191,271976,14.70344,-90.498617
192,263708,14.70344,-90.498617
193,74135,14.70344,-90.498617
194,304612,14.70344,-90.498617
195,362039,14.70344,-90.498617
196,329910,14.70344,-90.498617
197,304935,14.70344,-90.498617
198,263722,14.70344,-90.498617
199,304934,14.70344,-90.498617
200,263891,14.70344,-90.498617
201,329907,14.70344,-90.498617
202,263892,14.70344,-90.498617
203,276001,14.70344,-90.498617
204,329908,14.70344,-90.498617
205,288553,14.70344,-90.498617
206,191688,14.70344,-90.498617
207,263703,14.70344,-90.498617
208,305775,14.70344,-90.498617
209,288807,14.70344,-90.498617
210,323188,14.70344,-90.498617
211,329911,14.70344,-90.498617
212,263712,14.70344,-90.498617
213,278453,14.70344,-90.498617
214,102227,14.70344,-90.498617
215,304709,14.70344,-90.498617
216,371903,14.70344,-90.498617
217,318090,14.70344,-90.498617
218,278452,14.70344,-90.498617
219,263656,14.70344,-90.498617
220,278451,14.70344,-90.498617
221,263709,14.70344,-90.498617
222,354378,14.70344,-90.498617
223,329909,14.70344,-90.498617
224,318052,14.70344,-90.498617
225,54142,14.70344,-90.498617
226,263714,14.70344,-90.498617
227,247327,14.70344,-90.498617
228,263677,14.70344,-90.498617
229,362173,14.70344,-90.498617
230,304834,14.70344,-90.498617
231,46135,14.70344,-90.498617
232,70765,14.70344,-90.498617
233,305774,14.70344,-90.498617
234,338663,14.776446,-90.453775
235,297693,14.776446,-90.453775
236,338680,14.776446,-90.453775
237,305735,14.776446,-90.453775
238,315164,14.776446,-90.453775
239,305745,14.776446,-90.453775
240,342136,14.776446,-90.453775
241,299453,14.776446,-90.453775
242,297698,14.776446,-90.453775
243,267086,14.776446,-90.453775
244,276230,14.776446,-90.453775
245,282370,14.776446,-90.453775
246,338666,14.776446,-90.453775
247,130098,14.776446,-90.453775
248,358334,14.776446,-90.453775
249,296377,14.776446,-90.453775
250,315172,14.776446,-90.453775
251,297697,14.776446,-90.453775
252,297695,14.776446,-90.453775
253,318328,14.776446,-90.453775
254,331133,14.776446,-90.453775
255,364718,14.776446,-90.453775
256,337689,14.776446,-90.453775
257,315174,14.776446,-90.453775
258,303909,14.776446,-90.453775
259,264509,14.776446,-90.453775
260,130047,14.776446,-90.453775
261,336849,14.776446,-90.453775
262,115723,14.776446,-90.453775
263,171516,14.776446,-90.453775
264,356901,14.776446,-90.453775
265,93849,14.776446,-90.453775
266,171440,14.776446,-90.453775
267,297694,14.776446,-90.453775
268,334599,14.776446,-90.453775
269,305763,14.776446,-90.453775
270,338682,14.776446,-90.453775
271,364739,14.776446,-90.453775
272,364710,14.776446,-90.453775
273,358229,14.776446,-90.453775
274,334601,14.776446,-90.453775
275,354785,14.776446,-90.453775
276,298272,14.776446,-90.453775
277,150976,14.776446,-90.453775
278,130045,14.776446,-90.453775
279,334602,14.776446,-90.453775
280,264510,14.776446,-90.453775
281,264512,14.776446,-90.453775
282,356938,14.776446,-90.453775
283,281063,14.776446,-90.453775
284,282390,14.776446,-90.453775
285,315189,14.776446,-90.453775
286,245187,14.776446,-90.453775
287,305392,14.776446,-90.453775
288,338679,14.776446,-90.453775
289,338664,14.776446,-90.453775
290,171483,14.776446,-90.453775
291,334603,14.776446,-90.453775
292,259693,14.776446,-90.453775
293,305766,14.776446,-90.453775
294,150974,14.776446,-90.453775
295,334839,14.776446,-90.453775
296,338668,14.776446,-90.453775
297,334600,14.776446,-90.453775
298,264508,14.776446,-90.453775
299,264511,14.776446,-90.453775
300,339910,14.776446,-90.453775
301,259692,14.776446,-90.453775
302,356926,14.776446,-90.453775
303,130012,14.776446,-90.453775
304,276116,14.776446,-90.453775
305,264848,14.6333333,-90.6
306,30532,14.6333333,-90.6
307,264847,14.6333333,-90.6
308,109754,14.6333333,-90.6
309,94726,14.6333333,-90.6
310,339614,14.6333333,-90.6
311,264849,14.6333333,-90.6
312,264846,14.6333333,-90.6
313,18153,14.6333333,-90.6
314,187544,14.6333333,-90.6
315,265278,14.6333333,-90.6
316,109764,14.6333333,-90.6
317,264843,14.6333333,-90.6
318,73806,14.477302,-90.634631
319,243215,14.477302,-90.634631
320,335544,14.477302,-90.634631
321,241909,14.477302,-90.634631
322,264526,14.477302,-90.634631
323,264543,14.477302,-90.634631
324,73810,14.477302,-90.634631
325,338369,14.477302,-90.634631
326,338339,14.477302,-90.634631
327,338323,14.477302,-90.634631
328,243263,14.477302,-90.634631
329,277676,14.477302,-90.634631
330,355998,14.477302,-90.634631
331,319973,14.477302,-90.634631
332,314398,14.477302,-90.634631
333,338379,14.477302,-90.634631
334,337152,14.477302,-90.634631
335,278659,14.477302,-90.634631
336,221686,14.477302,-90.634631
337,261963,14.477302,-90.634631
338,320957,14.477302,-90.634631
339,261641,14.477302,-90.634631
340,73808,14.477302,-90.634631
341,261646,14.477302,-90.634631
342,150637,14.477302,-90.634631
343,338338,14.477302,-90.634631
344,264542,14.477302,-90.634631
345,243234,14.477302,-90.634631
346,278133,14.477302,-90.634631
347,73809,14.477302,-90.634631
348,260814,14.477302,-90.634631
349,364671,14.477302,-90.634631
350,298304,14.477302,-90.634631
351,299981,14.477302,-90.634631
352,338510,14.477302,-90.634631
353,318201,14.477302,-90.634631
354,335816,14.477302,-90.634631
355,262608,14.477302,-90.634631
356,332131,14.477302,-90.634631
357,243231,14.477302,-90.634631
358,338332,14.477302,-90.634631
359,338331,14.477302,-90.634631
360,264541,14.477302,-90.634631
361,340295,14.529829,-90.592003
362,304006,14.529829,-90.592003
363,303998,14.529829,-90.592003
364,317875,14.529829,-90.592003
365,264724,14.529829,-90.592003
366,303999,14.529829,-90.592003
367,277815,14.529829,-90.592003
368,119203,14.529829,-90.592003
369,282328,14.529829,-90.592003
370,336398,14.529829,-90.592003
371,329962,14.529829,-90.592003
372,72060,14.529829,-90.592003
373,300048,14.529829,-90.592003
374,359878,14.529829,-90.592003
375,264727,14.529829,-90.592003
376,329963,14.529829,-90.592003
377,339902,14.529829,-90.592003
378,264726,14.529829,-90.592003
379,282326,14.529829,-90.592003
380,306241,14.529829,-90.592003
381,339903,14.529829,-90.592003
382,304002,14.529829,-90.592003
383,354489,14.529829,-90.592003
384,329961,14.529829,-90.592003
385,245162,14.529829,-90.592003
386,304003,14.529829,-90.592003
387,188175,14.529829,-90.592003
388,264728,14.529829,-90.592003
389,304001,14.529829,-90.592003
390,329960,14.529829,-90.592003
391,304008,14.529829,-90.592003
392,282315,14.529829,-90.592003
393,304011,14.529829,-90.592003
394,304010,14.529829,-90.592003
395,282327,14.529829,-90.592003
396,119314,14.529829,-90.592003
397,264725,14.529829,-90.592003
398,261060,14.529829,-90.592003
399,304000,14.529829,-90.592003
400,304009,14.529829,-90.592003
401,304004,14.529829,-90.592003
402,304005,14.529829,-90.592003
403,264563,14.4776,-90.511607
404,264567,14.4776,-90.511607
405,278911,14.4776,-90.511607
406,140023,14.4776,-90.511607
407,264534,14.4776,-90.511607
408,343745,14.4776,-90.511607
409,151228,14.4776,-90.511607
410,314757,14.4776,-90.511607
411,346116,14.4776,-90.511607
412,343442,14.4776,-90.511607
413,264016,14.4776,-90.511607
414,339303,14.4776,-90.511607
415,62192,14.4776,-90.511607
416,108749,14.4776,-90.511607
417,343749,14.4776,-90.511607
418,171293,14.4776,-90.511607
419,300006,14.4776,-90.511607
420,264545,14.4776,-90.511607
421,332715,14.4776,-90.511607
422,74680,14.4776,-90.511607
423,281563,14.4776,-90.511607
424,356119,14.4776,-90.511607
425,264582,14.4776,-90.511607
426,277284,14.568799,-90.548851
427,329947,14.568799,-90.548851
428,320984,14.568799,-90.548851
429,275836,14.568799,-90.548851
430,312461,14.568799,-90.548851
431,332888,14.568799,-90.548851
432,356591,14.568799,-90.548851
433,278387,14.568799,-90.548851
434,265088,14.568799,-90.548851
435,329946,14.568799,-90.548851
436,329945,14.568799,-90.548851
437,320989,14.568799,-90.548851
438,360062,14.568799,-90.548851
439,313575,14.568799,-90.548851
440,339713,14.568799,-90.548851
441,134537,14.6333333,-90.6
442,361667,14.684692,-90.642014
443,329948,14.568799,-90.548851
444,305274,14.684692,-90.642014
445,275896,14.684692,-90.642014
446,359935,14.684692,-90.642014
447,342143,14.684692,-90.642014
448,276557,14.684692,-90.642014
449,330575,14.684692,-90.642014
450,341760,14.684692,-90.642014
451,299434,14.684692,-90.642014
452,361670,14.684692,-90.642014
453,313558,14.684692,-90.642014
